,screen_name,id,followers,following
0,RoborovskiNFT,1475311616753225731,106347,158
1,KamiTribe,1441842744960323584,50230,382
2,goopdoods,1435251083949993984,15672,4
3,ILYYWNFT,1475726345149714436,62210,47
4,3landersNFT,1440732888522100746,60937,165
5,SOVillains,1477537094213898240,77236,9
6,DippiesNFT,1451581974871781384,74260,28
7,WonderPals,1468963240126271489,175522,627
8,CosmiqsNFT,1482920929382567936,112925,8
9,SkeletGuys,1462974895298469888,5291,114
10,CatBloxStudios,1473094376775512064,69797,29
11,StarcatchersNFT,1478907585935904768,98930,334
12,rollbitcom,1227923263533305857,86255,85
13,Edenhorde,1470745276382072835,22291,18
14,TastyBonesNFT,1469294270301360128,304999,901
15,DentedFeelsNFT,1492065417002582018,36968,115
16,TsukiNFT,1483056032330960904,145877,32
17,SatoshiRunnerz,1466245939891515395,63088,396
18,0xALINFT,1473561489634037760,107217,209
19,RubberDuckBP,1451875170004647936,60300,4
20,cartoonsnft,1490826377355956225,76432,104
21,thesunniesnft,1469506441702567938,41654,27
22,NftFloppy,1466323549765783555,33695,349
23,ClayFriendsNFT,1479461603569455107,61952,6
24,CandyHuntersNFT,1455157323161296897,14126,2430
25,WabiSabiNFT,1484199942390689793,113447,17
26,iamchillpill,1214757469785747457,58405,639
27,SadBotsNFT,1460134658004324352,60965,7
28,BoozeBears,1468469522776850435,5464,49
29,RuggiesOfficial,1486887097164173312,29269,2
30,WaveCatchersNFT,1490850736275558400,16569,0
31,DrugReceipts,1321665988308459520,9652,29
32,Alleykatznft,1456007747892301826,3674,99
33,loserclubreborn,1488191770399760385,34597,159
34,midlifenft,1497998959431884805,250,271
35,AntonymNFT,1425997880083554310,251637,23
36,myinternetfrens,1480719402009985026,1659,1518
37,PlanktoonsNFT,1466033125423726595,23394,14
38,FortuneFriends_,1462264065644924932,82016,362
39,whales_nft,1462285783881056259,14765,174
40,frenlypandas,1489073278753083392,5196,7
