Project Name,Twitter,Opensea Link,Launch date,Mint Price (WL),Type of art,Current FP (as of 3/17),Total trade volume,Collection Size,Floor price immediately before reveal,Trade volume for 24 hours post reveal,Peak floor price within 24 hours of reveal,Holder ratio,holder duration,Notes
Roborovski,https://twitter.com/RoborovskiNFT,https://opensea.io/collection/roborovski-nft,2/19/2022,0.165,Cartoon,0.039,808,7800,0.14,97,0.12,,,Launched at same time as 3lander. All volume flew to 3lander
Kamitribe,https://twitter.com/thekamiofficial,https://opensea.io/collection/kamitribe,2/18/2022,0.069,Anime,0.014,251,2900,0.075,23,0.05,,,
Goopdoods,https://twitter.com/goopdoods,https://opensea.io/collection/g00p,3/15/2022,0.05,Doodle,0.065,245,8000,0.05,257,0.09,,,
"I like you, you're weird",https://twitter.com/ILYYWNFT,https://opensea.io/collection/ilyyw,3/8/2022,0.075,Cartoon,0.22,3100,10000,0.24,485,0.24,,,
3lander,https://twitter.com/3landersNFT,https://opensea.io/collection/3landers,2/19/2022,0.15,Doodle,1.69,24400,10000,1.4,4539,2,,,
Super Ordinary Villains,https://twitter.com/SOVillains,https://opensea.io/collection/super-ordinary-villains-genesis,3/8/2022,0.1,Cartoon,0.11,1800,8900,0.14,447,0.2,,,Had a flaw in their launch that resulted in FUDDING
Dippies,https://twitter.com/DippiesNFT,https://opensea.io/collection/dippies,3/2/2022,0.06,Doodle,0.328,7100,8900,0.51,2268,0.75,,,
Wonderpals,https://twitter.com/WonderPals,https://opensea.io/collection/wonderpals,2/26/2022,0.08,Doodle,0.529,9200,10000,0.75,1132,0.8,,,
Cosmiqs,https://twitter.com/CosmiqsNFT,https://opensea.io/collection/cosmiqs-official,3/11/2022,0.06,3D,0.047,407,5600,0.061,130,0.075,,,
Skelet Guys,https://twitter.com/SkeletGuys,https://opensea.io/collection/skelet-guys,3/3/2022,0.001,Doodle,0.059,529,5000,0.02,190,0.07,,,
CatBlox,https://twitter.com/CatBloxStudios,https://opensea.io/collection/catbloxgenesis,2/17/2022,0.215,3D,0.358,7800,10000,0.61,657,0.42,,,
Starcatchers,https://twitter.com/StarcatchersNFT,https://opensea.io/collection/starcatchersnft,2/22/2022,0.11,Doodle,0.238,7400,10000,0.67,2182,0.75,,,
Rollbots,https://twitter.com/rollbitcom,https://opensea.io/collection/rollbots,10/21/2021,0.3,3D,1.45,708,10000,1.5,84,1.75,,,
Edenhorde,https://twitter.com/Edenhorde,https://opensea.io/collection/edenhorde-official,2/16/2022,0.14,Cartoon,0.38,8500,8700,1.1,2234,1.38,,,
Tasty Bones,https://twitter.com/TastyBonesNFT,https://opensea.io/collection/tastybonesxyz,2/12/2022,0.06,Doodle,0.54,10000,5000,1,2583,0.75,,,
Dented Feels,https://twitter.com/DentedFeelsNFT,https://opensea.io/collection/dentedfeelsnft,2/23/2022,0.11,Cartoon/Doodle,0.143,4100,11100,0.09,1138,0.5,,,
Tales of Tsuki Genesis,https://twitter.com/TsukiNFT,https://opensea.io/collection/tales-of-tsuki-genesis,2/20/2022,0.15,Anime,0.018,2200,10000,0.11,143,0.085,,,
Satoshi Runners,https://twitter.com/SatoshiRunnerz,https://opensea.io/collection/satoshirunnersofficial,2/28/2022,0.1,Pixel,0.13,1800,7800,0.168,275,0.15,,,
ALINFT,https://twitter.com/0xALINFT,https://opensea.io/collection/alinft-official,2/14/2022,0.1,Cartoon,0.035,2100,8100,0.22,140,0.148,,,
Rubber Duck Bath Party,https://twitter.com/RubberDuckBP,https://opensea.io/collection/rubber-duck-bath-party,3/1/2022,0.08,Doodle,0.12,1600,10000,0.15,244,0.12,,,
CartoonsNFT,https://twitter.com/cartoonsnft,https://opensea.io/collection/cartoonsnft,3/1/2022,0.07,Doodle,0.05,1300,7800,0.1,267,0.07,,,
The sunnies collection,https://twitter.com/thesunniesnft,https://opensea.io/collection/thesunniesnft,2/28/2022,0.05,Doodle,0.084,1300,9100,0.08,130,0.088,,,
Floppy Collection,https://twitter.com/NftFloppy,https://opensea.io/collection/floppycollection,2/19/2022,0.07,Cartoon,0.042,1200,10000,0.12,233,0.07,,,
Clay Friends,https://twitter.com/ClayFriendsNFT,https://opensea.io/collection/clayfriends,3/4/2022,0.2,3D,0.145,1100,5000,0.287,196,0.219,,,
Candy Hunters,https://twitter.com/CandyHuntersNFT,https://opensea.io/collection/candy-hunters,2/16/2022,0.06,Cartoon,0.04,1000,10000,0.075,240,0.13,,,
Wabi Sabi Collective Genesis,https://twitter.com/WabiSabiNFT,https://opensea.io/collection/wabi-sabi-official,3/3/2022,0.08,Anime,0.088,791,5700,0.125,154,0.1,,,
CHILL RX,https://twitter.com/iamchillpill,https://opensea.io/collection/chillrx,2/18/2022,0.04,3D,0.055,559,9900,0.08,156,0.1,,,
Sad Bots Genesis,https://twitter.com/SadBotsNFT,https://opensea.io/collection/sad-bots-genesis,2/18/2022,0.17,3D,0.038,383,3100,0.07,0.9,0.1,,,
Booze Bears Official,https://twitter.com/BoozeBears,https://opensea.io/collection/boozebears,2/22/2022,0.03,Cartoon,0.03,39.9,3300,0.03,10,0.05,,,
OfficialRuggies,https://twitter.com/RuggiesOfficial,https://opensea.io/collection/officialruggies,3/6/2022,0.085,3D,0.029,39.2,2200,0.06,5,0.12,,,
Wave Catchers Official,https://twitter.com/WaveCatchersNFT,https://opensea.io/collection/wavecatchersofficial,3/3/2022,0.001,Pixel,0.157,583,3300,0.05,106,0.12,,,
Drug Receipts,https://twitter.com/DrugReceipts,https://opensea.io/collection/drugreceipts,3/8/2022,0.09,Cartoon,0.099,1100,10000,0.16,346,0.2,,,
AlleyKatzOffocial,https://twitter.com/Alleykatznft,https://opensea.io/collection/alleykatzofficial,1/23/2022,0.02,Cartoon,0.013,191,5600,0.02,141,0.06,,,
Loser Club Official,https://twitter.com/loserclubreborn,https://opensea.io/collection/loser-club-official,3/4/2022,0.08,Doodle,0.4,4400,10000,0.148,558,0.4,,,
Midlife NFT,https://twitter.com/midlifenft,https://opensea.io/collection/midlifenft,3/1/2022,0.001,Doodle,0.007,3.3,2000,0.005,3.22,0.007,,,
Antonym GENESIS,https://twitter.com/AntonymNFT,https://opensea.io/collection/antonymgenesis,3/2/2022,0.185,3D,0.438,8300,8900,0.617,1815,0.75,,,
InternetFrens,https://twitter.com/myinternetfrens,https://opensea.io/collection/internetfrens,3/8/2022,0.001,Doodle,0.017,114,10000,0.002,71.5,0.02,,,
goblintown.wtf,https://twitter.com/goblintownwtf,https://opensea.io/collection/goblintownwtf,5/19/2022,0.001,,6.37,25300,10000,,,,,,
Boki,https://twitter.com/BokiNFT,https://opensea.io/collection/bokinftofficial,5/19/2022,0.066,,1.022,7900,7800,,,,,,
AINightbirds,https://www.twitter.com/ainightbirds,https://opensea.io/collection/ainightbirds,5/16/2022,0.05,,0.165,5500,10000,,,,,,
rektguy,https://www.twitter.com/osf_nft,https://opensea.io/collection/rektguy,5/20/2022,0.001,,0.64,5200,8800,,,,,,
Akumu Dragonz,https://www.twitter.com/AkumuDragonz,https://opensea.io/collection/akumu-dragonz,5/31/2022,0.001,,0.609,3800,9600,,,,,,
Admit One,https://www.twitter.com/Admit0001,https://opensea.io/collection/admit-one,5/24/2022,0.001,,14.44,2700,1000,,,,,,
Elftown.wtf,https://www.twitter.com/ElftownWTF,https://opensea.io/collection/elftown-wtf,5/29/2022,0.001,,0.047,2700,10000,,,,,,
Tigerbob NFT Genesis Collection,https://www.twitter.com/tigerbobNFT,https://opensea.io/collection/tigerbobnft-genesis,5/28/2022,0.25,,1.3,2000,1000,,,,,,
Okay Bears Yacht Club,https://www.twitter.com/OkayBearsYC,https://opensea.io/collection/okaybearsyachtclub,5/18/2022,0.001,,0.045,1600,7800,,,,,,
We Are All Going to Die,https://www.twitter.com/wagdie_eth,https://opensea.io/collection/we-are-all-going-to-die,6/3/2022,0.001,,0.5,1900,6700,,,,,,
Leave Me Alone NFT,https://www.twitter.com/LeaveMeAloneNFT,https://opensea.io/collection/leave-me-alone-nft,6/3/2022,0.02,,0.13,1500,10000,,,,,,
ill poop it nft,https://www.twitter.com/pieceofshit_wtf,https://opensea.io/collection/pieceofshit-wtf,5/31/2022,0.001,,0.03,1400,10000,,,,,,
Flippr Access Pass,https://www.twitter.com/FlipprTool,https://opensea.io/collection/flipper-2022-access-pass,5/26/2022,0.09,,0.093,1000,5900,,,,,,
Verb: Chapter One,https://www.twitter.com/verb_labs,https://opensea.io/collection/verblabsofficial,5/18/2022,0.05,,0.052,955,6500,,,,,,
